ID,Smiles_Detected,Last_Location,Location_History,Timestamp
213,0,"((160, 273), (218, 331))","[((162, 270), (229, 337)), ((159, 272), (222, 335)), ((160, 273), (218, 331))]",2018-11-17 14:15:17
214,0,"((207, 270), (271, 334))","[((207, 270), (271, 334))]",2018-11-17 14:16:44
215,0,"((11, 256), (49, 294))","[((11, 256), (49, 294))]",2018-11-17 14:19:37
216,0,"((510, 267), (557, 314))","[((510, 267), (557, 314))]",2018-11-17 14:23:15
217,0,"((564, 311), (623, 370))","[((564, 311), (623, 370))]",2018-11-17 14:23:16
218,1,"((157, 261), (236, 340))","[((161, 271), (223, 333)), ((157, 261), (236, 340))]",2018-11-17 14:23:26
219,0,"((34, 271), (106, 343))","[((34, 271), (106, 343))]",2018-11-17 14:23:46
220,1,"((154, 257), (241, 344))","[((154, 257), (241, 344))]",2018-11-17 14:25:55
221,1,"((156, 254), (245, 343))","[((156, 254), (245, 343))]",2018-11-17 14:25:57
222,1,"((156, 253), (245, 342))","[((156, 253), (245, 342))]",2018-11-17 14:26:11
223,3,"((156, 254), (245, 343))","[((155, 252), (248, 345)), ((156, 254), (245, 343)), ((156, 254), (245, 343))]",2018-11-17 14:26:12
224,1,"((64, 223), (143, 302))","[((64, 223), (143, 302))]",2018-11-17 14:26:25
225,1,"((410, 245), (444, 279))","[((410, 245), (444, 279))]",2018-11-17 14:26:43
226,1,"((159, 246), (261, 348))","[((159, 246), (261, 348))]",2018-11-17 14:30:49
227,0,"((187, 268), (256, 337))","[((186, 268), (255, 337)), ((186, 269), (255, 338)), ((189, 269), (256, 336)), ((187, 268), (256, 337))]",2018-11-17 14:30:52
228,0,"((115, 212), (173, 270))","[((115, 212), (173, 270))]",2018-11-17 14:31:58
229,0,"((67, 199), (138, 270))","[((67, 199), (138, 270))]",2018-11-17 14:31:59
230,2,"((161, 253), (253, 345))","[((158, 248), (260, 350)), ((161, 253), (253, 345))]",2018-11-17 14:35:55
231,1,"((160, 265), (235, 340))","[((160, 265), (235, 340))]",2018-11-17 14:37:27
232,3,"((153, 258), (235, 340))","[((153, 257), (239, 343)), ((151, 258), (235, 342)), ((153, 258), (235, 340))]",2018-11-17 14:39:01
233,1,"((152, 259), (235, 342))","[((152, 259), (235, 342))]",2018-11-17 14:39:25
234,0,"((97, 264), (155, 322))","[((97, 264), (155, 322))]",2018-11-17 14:42:18
235,0,"((88, 223), (145, 280))","[((88, 223), (145, 280))]",2018-11-17 14:42:38
236,1,"((163, 255), (252, 344))","[((163, 255), (252, 344))]",2018-11-17 14:44:00
237,1,"((157, 254), (251, 348))","[((157, 254), (251, 348))]",2018-11-17 14:44:50
238,1,"((155, 255), (248, 348))","[((155, 255), (248, 348))]",2018-11-17 14:44:51
239,1,"((158, 255), (252, 349))","[((158, 255), (252, 349))]",2018-11-17 14:44:52
240,1,"((155, 253), (249, 347))","[((155, 253), (249, 347))]",2018-11-17 14:45:06
241,1,"((153, 251), (251, 349))","[((153, 251), (251, 349))]",2018-11-17 14:45:08
242,1,"((154, 252), (248, 346))","[((154, 252), (248, 346))]",2018-11-17 14:45:12
243,1,"((156, 254), (245, 343))","[((156, 254), (245, 343))]",2018-11-17 14:45:16
244,1,"((155, 252), (249, 346))","[((155, 252), (249, 346))]",2018-11-17 14:45:17
245,3,"((155, 255), (244, 344))","[((154, 254), (249, 349)), ((153, 253), (245, 345)), ((155, 255), (244, 344))]",2018-11-17 14:45:32
246,0,"((379, 224), (468, 313))","[((379, 224), (468, 313))]",2018-11-17 14:45:34
247,2,"((154, 255), (246, 347))","[((153, 254), (247, 348)), ((154, 255), (246, 347))]",2018-11-17 14:46:16
248,4,"((154, 258), (240, 344))","[((155, 256), (244, 345)), ((158, 256), (247, 345)), ((155, 255), (244, 344)), ((154, 258), (240, 344))]",2018-11-17 14:46:38
249,7,"((153, 254), (249, 350))","[((158, 257), (247, 346)), ((155, 255), (253, 353)), ((155, 256), (249, 350)), ((153, 256), (249, 352)), ((153, 254), (251, 352)), ((153, 254), (251, 352)), ((153, 254), (249, 350))]",2018-11-17 14:47:15
250,1,"((158, 258), (241, 341))","[((158, 258), (241, 341))]",2018-11-17 14:48:01
251,1,"((129, 268), (165, 304))","[((129, 268), (165, 304))]",2018-11-17 14:48:04
252,1,"((513, 250), (567, 304))","[((513, 250), (567, 304))]",2018-11-17 14:48:06
253,2,"((544, 258), (620, 334))","[((543, 250), (605, 312)), ((544, 258), (620, 334))]",2018-11-17 14:48:07
254,5,"((155, 257), (244, 346))","[((153, 253), (248, 348)), ((153, 251), (254, 352)), ((150, 250), (252, 352)), ((153, 253), (249, 349)), ((155, 257), (244, 346))]",2018-11-17 14:48:11
255,1,"((153, 250), (254, 351))","[((153, 250), (254, 351))]",2018-11-17 14:48:21
256,1,"((159, 256), (248, 345))","[((159, 256), (248, 345))]",2018-11-17 14:48:32
257,1,"((147, 251), (247, 351))","[((147, 251), (247, 351))]",2018-11-17 14:49:22
258,2,"((153, 255), (242, 344))","[((155, 256), (244, 345)), ((153, 255), (242, 344))]",2018-11-17 14:49:49
259,0,"((214, 220), (257, 263))","[((214, 220), (257, 263))]",2018-11-17 14:49:52
260,1,"((155, 254), (249, 348))","[((155, 254), (249, 348))]",2018-11-17 14:50:10
261,5,"((150, 248), (258, 356))","[((151, 252), (251, 352)), ((151, 252), (253, 354)), ((152, 254), (250, 352)), ((150, 252), (252, 354)), ((150, 248), (258, 356))]",2018-11-17 14:50:37
262,0,"((359, 263), (409, 313))","[((359, 262), (393, 296)), ((359, 263), (409, 313))]",2018-11-17 14:51:16
263,0,"((386, 265), (442, 321))","[((386, 265), (442, 321))]",2018-11-17 14:51:18
264,1,"((403, 285), (469, 351))","[((403, 285), (469, 351))]",2018-11-17 14:51:19
265,1,"((439, 297), (526, 384))","[((439, 297), (526, 384))]",2018-11-17 14:51:20
266,1,"((154, 255), (243, 344))","[((154, 255), (243, 344))]",2018-11-17 14:51:53
267,1,"((158, 258), (247, 347))","[((158, 258), (247, 347))]",2018-11-17 14:51:57
268,1,"((154, 254), (251, 351))","[((154, 254), (251, 351))]",2018-11-17 14:51:58
