Reference ID,Smiles_Detected,Last_Location,Location_History,Timestamp,Node,Distance,ID,Sociability,Relaxed,Sociability Score,Relaxed Score
128,0,"((364, 267), (411, 314))","[((372, 267), (409, 304)), ((364, 267), (411, 314))]",2018-11-17 12:52:33,"(387.5, 290.5)",46.17358552246078,128.0,1.0,0.0,0.0,0.0
129,0,"((406, 279), (457, 330))","[((406, 279), (457, 330))]",2018-11-17 12:52:35,"(431.5, 304.5)",60.876925020897694,129.0,1.0,0.0,0.0,0.0
130,0,"((461, 290), (520, 349))","[((461, 290), (520, 349))]",2018-11-17 12:52:36,"(490.5, 319.5)",60.40695324215582,130.0,1.0,0.0,0.0,0.0
131,0,"((514, 290), (587, 363))","[((514, 290), (587, 363))]",2018-11-17 12:52:37,"(550.5, 326.5)",479.01200402495135,131.0,0.0,1.0,0.0,0.0
132,0,"((34, 197), (124, 287))","[((34, 197), (124, 287))]",2018-11-17 12:58:56,"(79.0, 242.0)",68.50182479321262,132.0,1.0,0.0,0.0,0.0
133,0,"((94, 188), (201, 295))","[((94, 188), (201, 295))]",2018-11-17 12:58:57,"(147.5, 241.5)",191.80198122021577,133.0,0.0,1.0,0.0,0.0
134,0,"((318, 262), (353, 297))","[((318, 262), (353, 297))]",2018-11-17 12:59:47,"(335.5, 279.5)",70.00714249274856,134.0,1.0,0.0,0.0,0.0
135,0,"((385, 258), (426, 299))","[((385, 258), (426, 299))]",2018-11-17 12:59:48,"(405.5, 278.5)",104.65419246260515,135.0,1.0,0.0,0.0,0.0
136,0,"((480, 265), (538, 323))","[((480, 265), (538, 323))]",2018-11-17 12:59:48,"(509.0, 294.0)",290.6286290096005,136.0,0.0,1.0,0.0,0.0
137,0,"((183, 295), (259, 371))","[((173, 266), (251, 344)), ((189, 256), (262, 329)), ((185, 274), (253, 342)), ((183, 295), (259, 371))]",2018-11-17 13:02:23,"(221.0, 333.0)",50.91659847240387,137.0,1.0,0.0,0.0,0.0
138,1,"((165, 348), (218, 401))","[((168, 333), (221, 386)), ((165, 348), (218, 401))]",2018-11-17 13:02:24,"(191.5, 374.5)",73.40640299047489,138.0,1.0,0.0,0.0,0.0
139,1,"((156, 255), (250, 349))","[((156, 255), (250, 349))]",2018-11-17 13:08:38,"(203.0, 302.0)",98.04335775563789,139.0,1.0,0.0,1.0,0.0
140,0,"((209, 183), (262, 236))","[((209, 183), (262, 236))]",2018-11-17 13:13:02,"(235.5, 209.5)",173.87639287723908,140.0,0.0,1.0,0.0,1.0
141,0,"((317, 312), (378, 373))","[((317, 312), (378, 373))]",2018-11-17 13:24:13,"(347.5, 342.5)",149.164338901763,141.0,0.0,1.0,0.0,0.0
142,1,"((175, 280), (230, 335))","[((175, 280), (230, 335))]",2018-11-17 13:28:40,"(202.5, 307.5)",14.866068747318506,142.0,1.0,0.0,0.0,0.0
143,1,"((162, 286), (215, 339))","[((162, 286), (215, 339))]",2018-11-17 13:33:40,"(188.5, 312.5)",132.5028301584536,143.0,0.0,1.0,0.0,1.0
144,1,"((283, 340), (336, 393))","[((283, 340), (336, 393))]",2018-11-17 13:40:52,"(309.5, 366.5)",157.1146078504478,144.0,0.0,1.0,0.0,1.0
145,0,"((432, 326), (501, 395))","[((432, 326), (501, 395))]",2018-11-17 13:40:56,"(466.5, 360.5)",85.41955279676895,145.0,1.0,0.0,1.0,0.0
146,0,"((339, 305), (425, 391))","[((339, 305), (425, 391))]",2018-11-17 13:42:59,"(382.0, 348.0)",188.45158529447292,146.0,0.0,1.0,0.0,0.0
147,1,"((163, 267), (235, 339))","[((163, 267), (235, 339))]",2018-11-17 13:44:16,"(199.0, 303.0)",9.513148795220223,147.0,1.0,0.0,0.0,0.0
148,0,"((159, 272), (220, 333))","[((159, 272), (220, 333))]",2018-11-17 13:45:35,"(189.5, 302.5)",13.601470508735444,148.0,1.0,0.0,1.0,0.0
149,1,"((158, 254), (247, 343))","[((158, 254), (247, 343))]",2018-11-17 13:47:14,"(202.5, 298.5)",5.0990195135927845,149.0,1.0,0.0,0.0,0.0
