ID,Smiles_Detected,Last_Location,Location_History,Timestamp
144,0,"((384, 359), (437, 412))","[((384, 359), (437, 412))]",2018-11-19 11:08:45
145,0,"((439, 217), (517, 295))","[((439, 217), (517, 295))]",2018-11-19 11:08:58
146,0,"((383, 219), (417, 253))","[((383, 219), (417, 253))]",2018-11-19 11:09:25
147,0,"((356, 222), (395, 261))","[((356, 222), (395, 261))]",2018-11-19 11:09:26
148,0,"((290, 219), (328, 257))","[((290, 219), (328, 257))]",2018-11-19 11:09:26
149,1,"((94, 206), (147, 259))","[((237, 426), (288, 477)), ((94, 206), (147, 259))]",2018-11-19 11:09:47
150,0,"((292, 379), (350, 437))","[((292, 379), (350, 437))]",2018-11-19 11:10:06
151,0,"((264, 237), (298, 271))","[((264, 237), (298, 271))]",2018-11-19 11:10:14
152,1,"((366, 247), (401, 282))","[((366, 247), (401, 282))]",2018-11-19 11:10:17
153,0,"((156, 241), (252, 337))","[((156, 241), (252, 337))]",2018-11-19 11:10:30
154,1,"((167, 254), (220, 307))","[((167, 254), (220, 307))]",2018-11-19 11:10:41
155,1,"((269, 267), (322, 320))","[((269, 267), (322, 320))]",2018-11-19 11:10:42
156,0,"((302, 224), (355, 277))","[((314, 216), (367, 269)), ((314, 221), (369, 276)), ((302, 224), (355, 277))]",2018-11-19 11:11:01
157,0,"((337, 226), (395, 284))","[((337, 226), (395, 284))]",2018-11-19 11:11:03
158,0,"((330, 272), (399, 341))","[((330, 272), (399, 341))]",2018-11-19 11:11:04
159,1,"((357, 219), (421, 283))","[((368, 249), (426, 307)), ((357, 219), (421, 283))]",2018-11-19 11:11:11
160,0,"((62, 274), (178, 390))","[((62, 274), (178, 390))]",2018-11-19 11:11:18
161,0,"((433, 225), (507, 299))","[((433, 225), (507, 299))]",2018-11-19 11:11:19
162,0,"((386, 220), (435, 269))","[((386, 220), (435, 269))]",2018-11-19 11:12:55
163,0,"((203, 155), (377, 329))","[((203, 155), (377, 329))]",2018-11-19 11:14:20
164,0,"((332, 214), (370, 252))","[((332, 214), (370, 252))]",2018-11-19 11:14:25
165,0,"((247, 205), (281, 239))","[((252, 211), (288, 247)), ((247, 205), (281, 239))]",2018-11-19 11:14:58
166,0,"((229, 187), (288, 246))","[((229, 187), (288, 246))]",2018-11-19 11:15:01
167,0,"((160, 177), (232, 249))","[((160, 177), (232, 249))]",2018-11-19 11:15:01
168,1,"((248, 226), (283, 261))","[((248, 226), (283, 261))]",2018-11-19 11:15:03
169,0,"((165, 217), (210, 262))","[((165, 217), (210, 262))]",2018-11-19 11:15:04
170,0,"((360, 188), (439, 267))","[((360, 188), (439, 267))]",2018-11-19 11:15:27
171,0,"((195, 155), (378, 338))","[((195, 155), (378, 338))]",2018-11-19 11:15:35
172,0,"((198, 154), (375, 331))","[((198, 154), (375, 331))]",2018-11-19 11:15:46
173,0,"((189, 150), (385, 346))","[((189, 150), (385, 346))]",2018-11-19 11:15:50
174,1,"((186, 152), (382, 348))","[((186, 152), (382, 348))]",2018-11-19 11:15:51
175,0,"((59, 205), (112, 258))","[((59, 205), (112, 258))]",2018-11-19 11:16:10
176,0,"((431, 195), (526, 290))","[((431, 195), (526, 290))]",2018-11-19 11:19:25
177,0,"((321, 262), (383, 324))","[((321, 262), (383, 324))]",2018-11-19 11:19:46
178,0,"((280, 262), (333, 315))","[((280, 262), (333, 315))]",2018-11-19 11:19:47
179,0,"((304, 290), (390, 376))","[((304, 290), (390, 376))]",2018-11-19 11:19:49
180,0,"((478, 223), (550, 295))","[((478, 223), (550, 295))]",2018-11-19 11:21:26
181,0,"((388, 222), (432, 266))","[((388, 222), (432, 266))]",2018-11-19 11:21:29
182,0,"((214, 278), (283, 347))","[((214, 278), (283, 347))]",2018-11-19 11:21:33
183,0,"((506, 246), (563, 303))","[((506, 246), (563, 303))]",2018-11-19 11:22:33
184,0,"((36, 203), (87, 254))","[((36, 203), (87, 254))]",2018-11-19 11:23:15
185,0,"((64, 202), (122, 260))","[((64, 202), (122, 260))]",2018-11-19 11:23:16
186,0,"((134, 199), (192, 257))","[((124, 198), (175, 249)), ((126, 198), (182, 254)), ((134, 199), (192, 257))]",2018-11-19 11:23:19
187,0,"((175, 200), (235, 260))","[((175, 200), (235, 260))]",2018-11-19 11:23:21
188,0,"((533, 196), (606, 269))","[((533, 196), (606, 269))]",2018-11-19 11:24:16
189,0,"((483, 198), (556, 271))","[((483, 198), (556, 271))]",2018-11-19 11:26:59
190,0,"((323, 202), (399, 278))","[((323, 202), (399, 278))]",2018-11-19 11:27:00
191,1,"((355, 229), (432, 306))","[((355, 229), (432, 306))]",2018-11-19 11:27:43
192,0,"((465, 203), (539, 277))","[((465, 203), (539, 277))]",2018-11-19 11:29:57
193,0,"((112, 163), (198, 249))","[((112, 163), (198, 249))]",2018-11-19 11:31:07
194,0,"((170, 217), (206, 253))","[((170, 217), (206, 253))]",2018-11-19 11:31:12
195,0,"((501, 220), (557, 276))","[((501, 220), (557, 276))]",2018-11-19 11:31:47
196,0,"((306, 372), (359, 425))","[((306, 372), (359, 425))]",2018-11-19 11:33:23
197,1,"((486, 227), (568, 309))","[((486, 227), (568, 309))]",2018-11-19 11:34:35
198,0,"((527, 208), (581, 262))","[((527, 208), (581, 262))]",2018-11-19 11:35:22
199,0,"((421, 213), (475, 267))","[((421, 213), (475, 267))]",2018-11-19 11:35:23
200,0,"((506, 228), (567, 289))","[((506, 228), (567, 289))]",2018-11-19 11:36:20
